DATE,REG,FLTS,YEAR,ROLL_MED_7
2023-01-23,BRA,4758,2023,4871
2023-01-24,BRA,4871,2023,4871
2023-01-25,BRA,5337,2023,4871
2023-01-26,BRA,5352,2023,4871
2023-01-27,BRA,5498,2023,4871
2023-01-28,BRA,4525,2023,4812
2023-01-29,BRA,4306,2023,4812
2023-01-30,BRA,4754,2023,4812
2023-01-31,BRA,4812,2023,4812
2023-02-01,BRA,4930,2023,4812
2023-02-02,BRA,5066,2023,4812
2023-02-03,BRA,5202,2023,4907
2023-02-04,BRA,4302,2023,4930
2023-02-05,BRA,4239,2023,4975
2023-02-06,BRA,4907,2023,4975
2023-02-07,BRA,4975,2023,4975
2023-02-08,BRA,5099,2023,4975
2023-02-09,BRA,5373,2023,4975
2023-02-10,BRA,5492,2023,5006
2023-02-11,BRA,4379,2023,5099
2023-02-12,BRA,4064,2023,5008
2023-02-13,BRA,5006,2023,5008
2023-02-14,BRA,5156,2023,5008
2023-02-15,BRA,5008,2023,5008
2023-02-16,BRA,5540,2023,5008
2023-02-17,BRA,5976,2023,5008
2023-02-18,BRA,4549,2023,4549
2023-02-19,BRA,2960,2023,4549
2023-02-20,BRA,3337,2023,4549
2023-02-21,BRA,3859,2023,4549
2023-02-22,BRA,5191,2023,4330
2023-02-23,BRA,4726,2023,4330
2023-02-24,BRA,4674,2023,4674
2023-02-25,BRA,4330,2023,4726
2023-02-26,BRA,4243,2023,4726
2023-02-27,BRA,5116,2023,4987
2023-02-28,BRA,4987,2023,5054
2023-03-01,BRA,5054,2023,5054
2023-03-02,BRA,5366,2023,5054
2023-03-03,BRA,5576,2023,4987
2023-03-04,BRA,4338,2023,4943
2023-03-05,BRA,4069,2023,4943
2023-03-06,BRA,4856,2023,4943
2023-03-07,BRA,4943,2023,4943
2023-03-08,BRA,5166,2023,4943
2023-03-09,BRA,5401,2023,4943
2023-03-10,BRA,5406,2023,4943
2023-03-11,BRA,4169,2023,4775
2023-03-12,BRA,3950,2023,4775
2023-03-13,BRA,4713,2023,4775
2023-03-14,BRA,4775,2023,4775
2023-03-15,BRA,5164,2023,4775
2023-03-16,BRA,5400,2023,4775
2023-03-17,BRA,5534,2023,4937
2023-03-18,BRA,4392,2023,4979
2023-03-19,BRA,4146,2023,4979
2023-03-20,BRA,4937,2023,4979
2023-03-21,BRA,4979,2023,4979
2023-03-22,BRA,5260,2023,4979
2023-03-23,BRA,5532,2023,4979
2023-03-24,BRA,5752,2023,5036
2023-03-25,BRA,4161,2023,5219
2023-03-26,BRA,4108,2023,5219
2023-03-27,BRA,5036,2023,5219
2023-03-28,BRA,5219,2023,5219
2023-03-29,BRA,5373,2023,5219
2023-03-30,BRA,5386,2023,5219
2023-03-31,BRA,5497,2023,5219
2023-04-01,BRA,4561,2023,5373
2023-04-02,BRA,4058,2023,5386
2023-04-03,BRA,4973,2023,5416
2023-04-04,BRA,5416,2023,4973
2023-04-05,BRA,5688,2023,4973
2023-04-06,BRA,5844,2023,4973
2023-04-07,BRA,3728,2023,5416
2023-04-08,BRA,2956,2023,5538
2023-04-09,BRA,4284,2023,5453
2023-04-10,BRA,5538,2023,5453
2023-04-11,BRA,5548,2023,5453
2023-04-12,BRA,5453,2023,5453
2023-04-13,BRA,5567,2023,5453
2023-04-14,BRA,5208,2023,5208
2023-04-15,BRA,4212,2023,4964
2023-04-16,BRA,4115,2023,4964
2023-04-17,BRA,4964,2023,4964
2023-04-18,BRA,4760,2023,4964
2023-04-19,BRA,5236,2023,4964
2023-04-20,BRA,6234,2023,4964
2023-04-21,BRA,5136,2023,5136
2023-04-22,BRA,3614,2023,5184
2023-04-23,BRA,4587,2023,5160
2023-04-24,BRA,5184,2023,5160
2023-04-25,BRA,5283,2023,5184
2023-04-26,BRA,5160,2023,5184
2023-04-27,BRA,5553,2023,5184
2023-04-28,BRA,5839,2023,5160
2023-04-29,BRA,4554,2023,5160
2023-04-30,BRA,3624,2023,5278
2023-05-01,BRA,5151,2023,5278
2023-05-02,BRA,5278,2023,5278
2023-05-03,BRA,5399,2023,5278
2023-05-04,BRA,5445,2023,5278
2023-05-05,BRA,5522,2023,5278
2023-05-06,BRA,4429,2023,5082
2023-05-07,BRA,4021,2023,4887
2023-05-08,BRA,4887,2023,4887
2023-05-09,BRA,5082,2023,4887
2023-05-10,BRA,4860,2023,4887
2023-05-11,BRA,5428,2023,4887
2023-05-12,BRA,5749,2023,5082
2023-05-13,BRA,4486,2023,5140
2023-05-14,BRA,3962,2023,5343
2023-05-15,BRA,5140,2023,5343
2023-05-16,BRA,5343,2023,5343
2023-05-17,BRA,5431,2023,5343
2023-05-18,BRA,5722,2023,5343
2023-05-19,BRA,5749,2023,5343
2023-05-20,BRA,4555,2023,5347
2023-05-21,BRA,4193,2023,5347
2023-05-22,BRA,5100,2023,5347
2023-05-23,BRA,5347,2023,5347
2023-05-24,BRA,5385,2023,5347
2023-05-25,BRA,5677,2023,5347
2023-05-26,BRA,5767,2023,5347
2023-05-27,BRA,4592,2023,4942
2023-05-28,BRA,4108,2023,4765
2023-05-29,BRA,4765,2023,4765
2023-05-30,BRA,4942,2023,4765
2023-05-31,BRA,4732,2023,4765
2023-06-01,BRA,5616,2023,4765
2023-06-02,BRA,5807,2023,4942
2023-06-03,BRA,4637,2023,5279
2023-06-04,BRA,4488,2023,5400
2023-06-05,BRA,5279,2023,5279
2023-06-06,BRA,5400,2023,5225
2023-06-07,BRA,5983,2023,5225
