APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-16]","(-16,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2019-02-01,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,5,31,58,37,16,13,6,7,0,4,3,0,0,2,0,2
SBBR,2019-02-02,ARR,59999,4829,0,0,0,1,0,1,4,6,18,15,24,23,12,15,4,4,6,1,1,1,0,0,2,1,2,2
SBBR,2019-02-02,DEP,60102,4822,0,0,0,0,0,0,1,0,0,0,3,28,40,19,16,12,8,5,2,1,1,1,0,0,1,4
SBBR,2019-02-03,ARR,59999,4829,0,0,0,0,1,1,3,5,11,18,20,29,12,4,7,6,8,1,1,2,1,0,0,0,1,1
SBBR,2019-02-03,DEP,60102,4822,0,0,0,0,0,0,0,0,0,1,7,23,36,24,9,11,3,5,3,1,3,1,1,0,1,3
SBBR,2019-02-04,ARR,59999,4829,0,0,0,0,0,0,0,4,5,11,21,25,21,13,16,12,13,5,8,5,5,2,2,2,1,9
SBBR,2019-02-04,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,4,20,43,29,12,13,11,8,3,8,10,5,3,1,3,7
SBBR,2019-02-05,ARR,59999,4829,0,0,1,0,0,0,1,5,14,15,27,38,25,17,10,4,11,9,1,2,2,1,2,0,0,6
SBBR,2019-02-05,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,2,32,59,36,15,14,5,6,5,3,2,4,0,0,2,8
SBBR,2019-02-06,ARR,59999,4829,0,0,0,0,0,0,2,7,7,11,41,24,24,16,9,7,8,11,6,4,2,3,0,1,1,3
SBBR,2019-02-06,DEP,60102,4822,0,0,0,0,0,0,0,0,0,1,3,28,42,32,20,20,11,5,7,1,4,3,2,2,0,5
SBBR,2019-02-07,ARR,59999,4829,0,0,0,0,0,1,1,5,13,20,29,21,23,20,9,15,11,4,0,2,0,2,2,0,3,4
SBBR,2019-02-07,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,7,24,40,38,20,14,12,13,2,6,7,1,1,0,0,1
SBBR,2019-02-08,ARR,59999,4829,1,0,0,1,1,0,1,5,16,17,43,22,22,15,12,2,10,8,0,4,2,1,0,1,2,5
SBBR,2019-02-08,DEP,60102,4822,1,0,0,0,0,0,0,0,0,0,5,29,45,35,23,10,9,7,5,5,6,1,0,0,0,11
SBBR,2019-02-09,ARR,59999,4829,0,0,0,0,1,3,3,7,23,14,31,22,13,10,4,1,0,4,2,1,1,1,1,0,1,2
SBBR,2019-02-09,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,11,30,46,18,16,6,2,1,3,2,0,3,0,0,0,1
SBBR,2019-02-10,ARR,59999,4829,0,0,0,0,0,0,2,8,16,19,27,18,13,5,4,5,4,1,0,1,0,0,0,0,0,5
SBBR,2019-02-10,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,13,27,38,16,16,11,5,2,1,1,1,0,0,0,0,0
SBBR,2019-02-11,ARR,59999,4829,0,0,0,0,0,0,1,7,14,27,37,34,24,18,9,2,2,3,3,4,1,0,0,1,0,1
SBBR,2019-02-11,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,15,39,57,41,14,8,4,2,3,1,2,1,0,1,0,2
SBBR,2019-02-12,ARR,59999,4829,0,0,0,0,0,0,1,5,14,17,40,40,12,8,16,7,7,5,6,5,0,1,0,1,0,2
SBBR,2019-02-12,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,11,37,51,28,18,12,8,6,7,2,4,0,0,2,0,5
SBBR,2019-02-13,ARR,59999,4829,0,0,0,0,0,1,1,6,19,22,31,31,19,13,15,16,6,1,0,1,1,1,1,1,0,2
SBBR,2019-02-13,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,7,31,56,32,21,8,6,10,4,1,3,1,0,0,2,4
SBBR,2019-02-14,ARR,59999,4829,0,0,0,0,1,4,0,11,21,18,44,22,29,13,11,4,4,1,1,0,1,1,0,0,3,3
SBBR,2019-02-14,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,10,30,58,33,18,14,5,4,8,2,2,1,0,2,0,3
SBBR,2019-02-15,ARR,59999,4829,0,0,0,1,0,0,3,9,18,30,33,22,19,16,11,9,4,3,4,0,2,0,0,0,0,2
SBBR,2019-02-15,DEP,60102,4822,0,0,0,0,0,0,0,0,0,2,6,47,45,28,14,16,11,6,3,4,0,5,0,1,0,2
SBBR,2019-02-16,ARR,59999,4829,0,0,0,0,0,0,3,5,5,13,28,17,20,9,9,7,4,3,4,0,3,1,1,0,1,6
SBBR,2019-02-16,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,5,15,36,27,19,7,6,4,3,2,1,1,2,1,1,5
SBBR,2019-02-17,ARR,59999,4829,0,0,0,0,0,0,2,4,3,9,25,26,10,7,11,10,2,3,0,0,1,1,1,1,0,2
SBBR,2019-02-17,DEP,60102,4822,0,0,0,0,0,0,0,0,0,0,4,23,31,16,14,6,3,5,2,0,2,2,1,0,2,3
