ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
LPPT,2019-02-08,ARR,286,1,0,0,0,2,0,2,2,5,16,20,26,40,32,25,31,26,10,21,7,2,1,1,0,4,12
LPPT,2019-02-08,DEP,287,0,0,0,0,0,0,0,0,0,2,7,13,64,62,40,34,23,9,7,6,7,2,2,1,0,8
LPPT,2019-02-09,ARR,251,0,0,0,1,0,1,0,2,8,20,20,42,39,32,21,25,12,6,3,5,3,3,1,2,2,3
LPPT,2019-02-09,DEP,250,0,0,0,0,0,0,0,0,0,1,4,26,58,66,24,32,12,5,7,3,2,2,3,3,1,1
LPPT,2019-02-10,ARR,268,0,0,0,0,0,1,0,5,7,12,21,28,42,39,29,33,19,11,3,3,3,3,1,1,3,4
LPPT,2019-02-10,DEP,274,0,0,0,0,0,0,0,0,0,2,1,20,60,63,52,27,16,11,5,4,2,0,3,2,1,5
LPPT,2019-02-11,ARR,274,0,0,1,0,0,2,4,2,15,21,46,41,39,31,29,16,6,5,4,4,2,1,3,0,0,2
LPPT,2019-02-11,DEP,265,0,0,0,0,0,0,0,0,1,1,9,29,87,67,23,17,10,6,6,2,2,1,0,0,2,2
LPPT,2019-02-12,ARR,251,0,0,0,0,1,0,4,6,18,19,36,47,36,30,27,11,4,1,3,2,0,1,0,3,0,2
LPPT,2019-02-12,DEP,243,0,0,0,0,0,0,0,0,0,1,9,35,79,55,17,22,4,6,2,3,3,2,0,0,1,4
LPPT,2019-02-13,ARR,237,0,0,1,0,0,1,2,1,10,25,28,38,38,30,23,11,5,5,3,4,4,2,1,1,1,3
LPPT,2019-02-13,DEP,246,0,0,0,0,0,0,0,0,0,3,3,32,90,55,23,14,5,4,8,1,3,1,1,1,0,2
LPPT,2019-02-14,ARR,265,0,0,0,1,0,1,1,3,8,17,36,45,45,33,24,11,8,12,5,6,3,0,0,0,0,6
LPPT,2019-02-14,DEP,259,0,0,0,0,0,0,0,0,0,2,3,26,73,71,32,13,9,4,7,2,4,2,0,3,0,8
LPPT,2019-02-15,ARR,290,0,0,0,1,0,2,2,6,6,20,20,41,41,38,29,17,20,12,6,11,2,8,0,1,0,7
LPPT,2019-02-15,DEP,301,0,0,0,0,0,0,0,0,0,1,5,22,57,69,50,35,20,15,4,3,4,3,2,0,1,10
LPPT,2019-02-16,ARR,260,0,0,0,0,0,1,1,6,18,16,40,30,45,38,19,11,5,9,8,2,2,1,2,0,0,6
LPPT,2019-02-16,DEP,255,0,0,0,0,0,0,0,0,0,1,2,22,87,55,43,16,6,5,4,4,1,2,2,2,1,2
LPPT,2019-02-17,ARR,272,0,0,0,0,0,0,2,2,1,7,12,20,12,19,13,13,18,22,11,16,11,12,13,6,8,54
LPPT,2019-02-17,DEP,276,0,0,0,0,0,0,0,0,0,0,0,6,19,30,21,22,18,19,13,12,14,5,7,9,10,71
LPPT,2019-02-18,ARR,282,0,0,0,0,1,0,1,0,5,12,24,28,46,38,44,23,21,5,5,8,6,3,0,1,1,10
LPPT,2019-02-18,DEP,271,0,0,0,0,0,0,1,0,0,0,4,20,73,74,36,23,14,3,4,5,3,1,1,3,1,5
LPPT,2019-02-19,ARR,254,0,0,0,0,2,2,1,3,15,29,48,47,35,24,13,8,8,4,6,2,2,0,1,0,1,3
LPPT,2019-02-19,DEP,255,0,0,0,0,0,0,0,0,0,1,6,29,80,60,26,26,11,5,1,4,1,2,0,0,0,3
LPPT,2019-02-20,ARR,254,2,0,0,0,2,4,1,8,16,25,63,38,30,22,14,6,9,4,1,1,1,1,0,1,1,4
LPPT,2019-02-20,DEP,264,0,0,0,0,0,0,0,0,1,1,10,27,90,62,29,18,8,6,1,0,2,0,0,0,1,8
LPPT,2019-02-21,ARR,276,0,0,0,0,1,1,2,1,9,24,26,47,45,36,21,18,17,8,8,3,2,2,2,0,0,3
LPPT,2019-02-21,DEP,274,0,0,0,0,0,0,0,0,0,1,6,14,86,69,37,20,14,12,3,3,1,0,2,1,1,4
LPPT,2019-02-22,ARR,292,1,1,0,1,3,0,2,7,13,16,32,41,41,33,26,19,11,11,4,11,4,2,2,1,1,9
LPPT,2019-02-22,DEP,294,0,0,0,0,0,0,0,0,0,3,0,11,74,60,38,33,18,18,10,7,6,4,0,3,0,9
LPPT,2019-02-23,ARR,258,0,0,0,1,1,2,1,8,8,12,28,50,31,22,23,18,8,8,3,1,9,5,2,1,2,14
LPPT,2019-02-23,DEP,255,0,0,0,0,0,0,0,0,0,2,4,16,73,55,35,15,8,8,7,2,2,4,2,4,1,17
LPPT,2019-02-24,ARR,271,0,1,0,0,0,1,4,2,16,13,39,51,39,31,20,19,12,7,5,3,3,3,1,0,0,1
LPPT,2019-02-24,DEP,276,0,0,0,0,0,0,0,0,0,0,2,18,67,66,42,37,13,10,4,7,1,2,0,1,0,6
LPPT,2019-02-25,ARR,281,0,0,0,0,0,0,4,5,13,31,46,38,51,29,22,12,2,3,5,3,2,2,1,0,0,12
LPPT,2019-02-25,DEP,273,0,0,0,0,1,0,0,0,0,1,4,22,84,72,40,19,8,6,5,2,1,1,0,0,1,6
LPPT,2019-02-26,ARR,257,0,0,1,3,2,0,1,6,13,24,32,52,47,31,12,17,6,0,1,0,2,1,0,1,0,5
LPPT,2019-02-26,DEP,255,1,0,0,0,0,0,0,0,0,3,6,21,86,68,35,15,7,3,5,2,0,0,0,0,0,3
LPPT,2019-02-27,ARR,254,2,0,0,0,0,0,2,5,5,8,39,26,43,34,31,18,8,11,3,6,3,1,0,0,0,9
LPPT,2019-02-27,DEP,261,0,0,0,0,0,0,0,0,0,0,1,21,76,74,37,14,13,8,5,3,3,1,1,0,1,3
LPPT,2019-02-28,ARR,277,0,0,0,0,0,1,0,4,1,15,16,27,41,33,26,36,23,13,9,3,7,7,1,2,0,12
LPPT,2019-02-28,DEP,273,0,0,0,0,0,0,0,0,0,1,1,7,57,62,38,28,26,11,11,8,5,5,1,3,0,9
LPPT,2019-03-01,ARR,295,0,0,1,1,1,0,3,2,1,11,14,31,34,41,37,26,17,19,11,12,6,7,6,3,6,5
LPPT,2019-03-01,DEP,300,0,0,0,0,0,0,0,0,0,0,2,10,33,59,50,46,25,17,20,7,5,11,3,2,0,10
LPPT,2019-03-02,ARR,267,0,0,0,0,0,2,5,5,6,15,26,40,35,43,26,18,6,9,4,6,2,3,2,2,4,8
