ADEP,ADES,LAT1,LON1,LAT,LON,GCD,REGION
EGLL,LSZH,51.470748,-0.459909,47.458056,8.548056,426.146854806062,EUR
EGLL,LIRF,51.470748,-0.459909,41.804532,12.251998,780.6161102239142,EUR
EGLL,LFPG,51.470748,-0.459909,49.00896,2.554117,187.90614742909804,EUR
EGLL,LEMD,51.470748,-0.459909,40.493407,-3.572249,672.3426914237317,EUR
EGLL,LEBL,51.470748,-0.459909,41.2971,2.07846,620.4042001816803,EUR
EGLL,LPPT,51.470748,-0.459909,38.7813,-9.13592,845.4455557549181,EUR
EGLL,LGAV,51.470748,-0.459909,37.936401,23.9445,1311.7545416966573,EUR
EGLL,LTFM,51.470748,-0.459909,41.274874,28.732136,1344.585333916763,EUR
EGKK,EGLL,51.148744,-0.185739,51.470748,-0.459909,21.925676384537546,EUR
EGKK,EGKK,51.148744,-0.185739,51.148744,-0.185739,0,EUR
EGKK,EHAM,51.148744,-0.185739,52.308601,4.76389,196.97098202127106,EUR
EGKK,EDDF,51.148744,-0.185739,50.026706,8.55835,340.22248370785684,EUR
EGKK,EDDM,51.148744,-0.185739,48.353802,11.7861,493.6702019178378,EUR
EGKK,LSZH,51.148744,-0.185739,47.458056,8.548056,407.49425858361377,EUR
EGKK,LIRF,51.148744,-0.185739,41.804532,12.251998,759.8857377097152,EUR
EGKK,LFPG,51.148744,-0.185739,49.00896,2.554117,166.4440283641562,EUR
EGKK,LEMD,51.148744,-0.185739,40.493407,-3.572249,655.8026331690392,EUR
EGKK,LEBL,51.148744,-0.185739,41.2971,2.07846,599.5207072037947,EUR
EGKK,LPPT,51.148744,-0.185739,38.7813,-9.13592,833.7250314065185,EUR
EGKK,LGAV,51.148744,-0.185739,37.936401,23.9445,1293.4401408528909,EUR
EGKK,LTFM,51.148744,-0.185739,41.274874,28.732136,1329.518423416571,EUR
EHAM,EGLL,52.308601,4.76389,51.470748,-0.459909,200.17499163463836,EUR
EHAM,EGKK,52.308601,4.76389,51.148744,-0.185739,196.97098202127106,EUR
EHAM,EHAM,52.308601,4.76389,52.308601,4.76389,0,EUR
EHAM,EDDF,52.308601,4.76389,50.026706,8.55835,198.1058387201328,EUR
EHAM,EDDM,52.308601,4.76389,48.353802,11.7861,359.0228374740112,EUR
EHAM,LSZH,52.308601,4.76389,47.458056,8.548056,326.2101135609333,EUR
EHAM,LIRF,52.308601,4.76389,41.804532,12.251998,701.0078907525972,EUR
EHAM,LFPG,52.308601,4.76389,49.00896,2.554117,215.44171223422427,EUR
EHAM,LEMD,52.308601,4.76389,40.493407,-3.572249,788.555992476814,EUR
EHAM,LEBL,52.308601,4.76389,41.2971,2.07846,670.9106939078604,EUR
EHAM,LPPT,52.308601,4.76389,38.7813,-9.13592,998.0374954860018,EUR
EHAM,LGAV,52.308601,4.76389,37.936401,23.9445,1179.3690858462255,EUR
EHAM,LTFM,52.308601,4.76389,41.274874,28.732136,1179.8104455032892,EUR
EDDF,EGLL,50.026706,8.55835,51.470748,-0.459909,353.53627980074805,EUR
EDDF,EGKK,50.026706,8.55835,51.148744,-0.185739,340.22248370785684,EUR
EDDF,EHAM,50.026706,8.55835,52.308601,4.76389,198.1058387201328,EUR
EDDF,EDDF,50.026706,8.55835,50.026706,8.55835,0,EUR
EDDF,EDDM,50.026706,8.55835,48.353802,11.7861,161.8037884345685,EUR
EDDF,LSZH,50.026706,8.55835,47.458056,8.548056,154.3962244810527,EUR
EDDF,LIRF,50.026706,8.55835,41.804532,12.251998,517.6208313128598,EUR
EDDF,LFPG,50.026706,8.55835,49.00896,2.554117,242.08002207750522,EUR
EDDF,LEMD,50.026706,8.55835,40.493407,-3.572249,767.3356104240958,EUR
EDDF,LEBL,50.026706,8.55835,41.2971,2.07846,590.5861504513554,EUR
EDDF,LPPT,50.026706,8.55835,38.7813,-9.13592,1012.3156267789401,EUR
EDDF,LGAV,50.026706,8.55835,37.936401,23.9445,981.5488626499965,EUR
EDDF,LTFM,50.026706,8.55835,41.274874,28.732136,992.7918953158496,EUR
EDDM,EGLL,48.353802,11.7861,51.470748,-0.459909,508.9119141113132,EUR
EDDM,EGKK,48.353802,11.7861,51.148744,-0.185739,493.6702019178378,EUR
EDDM,EHAM,48.353802,11.7861,52.308601,4.76389,359.0228374740112,EUR
EDDM,EDDF,48.353802,11.7861,50.026706,8.55835,161.8037884345685,EUR
EDDM,EDDM,48.353802,11.7861,48.353802,11.7861,0,EUR
EDDM,LSZH,48.353802,11.7861,47.458056,8.548056,141.12931642259775,EUR
EDDM,LIRF,48.353802,11.7861,41.804532,12.251998,394.15583608701894,EUR
EDDM,LFPG,48.353802,11.7861,49.00896,2.554117,368.257342329703,EUR
EDDM,LEMD,48.353802,11.7861,40.493407,-3.572249,808.6916552394719,EUR
EDDM,LEBL,48.353802,11.7861,41.2971,2.07846,591.7150565426114,EUR
EDDM,LPPT,48.353802,11.7861,38.7813,-9.13592,1072.2632175335132,EUR
EDDM,LGAV,48.353802,11.7861,37.936401,23.9445,820.398798923669,EUR
EDDM,LTFM,48.353802,11.7861,41.274874,28.732136,835.8485850955749,EUR
LSZH,EGLL,47.458056,8.548056,51.470748,-0.459909,426.146854806062,EUR
LSZH,EGKK,47.458056,8.548056,51.148744,-0.185739,407.49425858361377,EUR
LSZH,EHAM,47.458056,8.548056,52.308601,4.76389,326.2101135609333,EUR
LSZH,EDDF,47.458056,8.548056,50.026706,8.55835,154.3962244810527,EUR
LSZH,EDDM,47.458056,8.548056,48.353802,11.7861,141.12931642259775,EUR
LSZH,LSZH,47.458056,8.548056,47.458056,8.548056,0,EUR
LSZH,LIRF,47.458056,8.548056,41.804532,12.251998,374.8277968387482,EUR
LSZH,LFPG,47.458056,8.548056,49.00896,2.554117,257.36327254228763,EUR
LSZH,LEMD,47.458056,8.548056,40.493407,-3.572249,669.5748007444456,EUR
LSZH,LEBL,47.458056,8.548056,41.2971,2.07846,462.6690340571934,EUR
LSZH,LPPT,47.458056,8.548056,38.7813,-9.13592,931.4284136657493,EUR
LSZH,LGAV,47.458056,8.548056,37.936401,23.9445,886.0537842962366,EUR
LSZH,LTFM,47.458056,8.548056,41.274874,28.732136,940.0573648997608,EUR
LIRF,EGLL,41.804532,12.251998,51.470748,-0.459909,780.6161102239142,EUR
LIRF,EGKK,41.804532,12.251998,51.148744,-0.185739,759.8857377097152,EUR
LIRF,EHAM,41.804532,12.251998,52.308601,4.76389,701.0078907525972,EUR
LIRF,EDDF,41.804532,12.251998,50.026706,8.55835,517.6208313128598,EUR
LIRF,EDDM,41.804532,12.251998,48.353802,11.7861,394.15583608701894,EUR
LIRF,LSZH,41.804532,12.251998,47.458056,8.548056,374.8277968387482,EUR
LIRF,LIRF,41.804532,12.251998,41.804532,12.251998,0,EUR
LIRF,LFPG,41.804532,12.251998,49.00896,2.554117,594.8982877370604,EUR
